Month,Revenue,COGS,GrossProfit,Opex_RnD,Opex_SalesMarketing,Opex_GA,Opex_Total,EBITDA
2023-01-01,2000000.0,900000.0,1100000.0,150000,120000,80000,350000,750000.0
2023-02-01,2065217.39,929347.83,1135869.56,150000,120000,80000,350000,785869.56
2023-03-01,2130434.78,958695.65,1171739.13,150000,120000,80000,350000,821739.13
2023-04-01,2195652.17,988043.48,1207608.69,150000,120000,80000,350000,857608.69
2023-05-01,2260869.57,1017391.31,1243478.26,150000,120000,80000,350000,893478.26
2023-06-01,2326086.96,1046739.13,1279347.83,150000,120000,80000,350000,929347.83
2023-07-01,2391304.35,1076086.96,1315217.39,150000,120000,80000,350000,965217.39
2023-08-01,2456521.74,1105434.78,1351086.96,150000,120000,80000,350000,1001086.96
2023-09-01,2521739.13,1134782.61,1386956.52,150000,120000,80000,350000,1036956.52
2023-10-01,2586956.52,1164130.43,1422826.09,150000,120000,80000,350000,1072826.09
2023-11-01,2652173.91,1193478.26,1458695.65,150000,120000,80000,350000,1108695.65
2023-12-01,2717391.3,1222826.08,1494565.22,150000,120000,80000,350000,1144565.22
2024-01-01,2782608.7,1252173.92,1530434.78,150000,120000,80000,350000,1180434.78
2024-02-01,2847826.09,1281521.74,1566304.35,150000,120000,80000,350000,1216304.35
2024-03-01,2913043.48,1310869.57,1602173.91,150000,120000,80000,350000,1252173.91
2024-04-01,2978260.87,1340217.39,1638043.48,150000,120000,80000,350000,1288043.48
2024-05-01,3043478.26,1369565.22,1673913.04,150000,120000,80000,350000,1323913.04
2024-06-01,3108695.65,1398913.04,1709782.61,150000,120000,80000,350000,1359782.61
2024-07-01,3173913.04,1428260.87,1745652.17,150000,120000,80000,350000,1395652.17
2024-08-01,3239130.43,1457608.69,1781521.74,150000,120000,80000,350000,1431521.74
2024-09-01,3304347.83,1486956.52,1817391.31,150000,120000,80000,350000,1467391.31
2024-10-01,3369565.22,1516304.35,1853260.87,150000,120000,80000,350000,1503260.87
2024-11-01,3434782.61,1545652.17,1889130.44,150000,120000,80000,350000,1539130.44
2024-12-01,3500000.0,1575000.0,1925000.0,150000,120000,80000,350000,1575000.0
